Report_Date,Ticker,Total Revenue,Net Income,Total Assets,Total Liab,Operating Cash Flow,R&D Expenses
2021-09-30,AAPL,,,,,,
2022-09-30,AAPL,394328000000.0,99803000000.0,352755000000.0,302083000000.0,122151000000.0,26251000000.0
2023-09-30,AAPL,383285000000.0,96995000000.0,352583000000.0,290437000000.0,110543000000.0,29915000000.0
2024-09-30,AAPL,391035000000.0,93736000000.0,364980000000.0,308030000000.0,118254000000.0,31370000000.0
2025-09-30,AAPL,416161000000.0,112010000000.0,359241000000.0,285508000000.0,111482000000.0,34550000000.0
2021-06-30,MSFT,,,,,,
2022-06-30,MSFT,198270000000.0,72738000000.0,364840000000.0,198298000000.0,89035000000.0,24512000000.0
2023-06-30,MSFT,211915000000.0,72361000000.0,411976000000.0,205753000000.0,87582000000.0,27195000000.0
2024-06-30,MSFT,245122000000.0,88136000000.0,512163000000.0,243686000000.0,118548000000.0,29510000000.0
2025-06-30,MSFT,281724000000.0,101832000000.0,619003000000.0,275524000000.0,136162000000.0,32488000000.0
2020-12-31,GOOGL,,,,,,
2021-12-31,GOOGL,257637000000.0,76033000000.0,359268000000.0,107633000000.0,91652000000.0,31562000000.0
2022-12-31,GOOGL,282836000000.0,59972000000.0,365264000000.0,109120000000.0,91495000000.0,39500000000.0
2023-12-31,GOOGL,307394000000.0,73795000000.0,402392000000.0,119013000000.0,101746000000.0,45427000000.0
2024-12-31,GOOGL,350018000000.0,100118000000.0,450256000000.0,125172000000.0,125299000000.0,49326000000.0
2020-12-31,AMZN,,,,,,42740000000.0
2021-12-31,AMZN,469822000000.0,33364000000.0,420549000000.0,282304000000.0,46327000000.0,
2022-12-31,AMZN,513983000000.0,-2722000000.0,462675000000.0,316632000000.0,46752000000.0,
2023-12-31,AMZN,574785000000.0,30425000000.0,527854000000.0,325979000000.0,84946000000.0,
2024-12-31,AMZN,637959000000.0,59248000000.0,624894000000.0,338924000000.0,115877000000.0,
2020-12-31,TSLA,,,,,,
2021-12-31,TSLA,53823000000.0,5524000000.0,62131000000.0,30548000000.0,11497000000.0,2593000000.0
2022-12-31,TSLA,81462000000.0,12583000000.0,82338000000.0,36440000000.0,14724000000.0,3075000000.0
2023-12-31,TSLA,96773000000.0,14999000000.0,106618000000.0,43009000000.0,13256000000.0,3969000000.0
2024-12-31,TSLA,97690000000.0,7130000000.0,122070000000.0,48390000000.0,14923000000.0,4540000000.0
2020-12-31,META,,,,,,
2021-12-31,META,117929000000.0,39370000000.0,165987000000.0,41108000000.0,57683000000.0,24655000000.0
2022-12-31,META,116609000000.0,23200000000.0,185727000000.0,60014000000.0,50475000000.0,35338000000.0
2023-12-31,META,134902000000.0,39098000000.0,229623000000.0,76455000000.0,71113000000.0,38483000000.0
2024-12-31,META,164501000000.0,62360000000.0,276054000000.0,93417000000.0,91328000000.0,43873000000.0
2021-01-31,NVDA,,,,,,
2022-01-31,NVDA,26914000000.0,9752000000.0,44187000000.0,17575000000.0,9108000000.0,5268000000.0
2023-01-31,NVDA,26974000000.0,4368000000.0,41182000000.0,19081000000.0,5641000000.0,7339000000.0
2024-01-31,NVDA,60922000000.0,29760000000.0,65728000000.0,22750000000.0,28090000000.0,8675000000.0
2025-01-31,NVDA,130497000000.0,72880000000.0,111601000000.0,32274000000.0,64089000000.0,12914000000.0
2020-12-31,AMD,,,,,,
2021-12-31,AMD,16434000000.0,3162000000.0,12419000000.0,4922000000.0,3521000000.0,2845000000.0
2022-12-31,AMD,23601000000.0,1320000000.0,67580000000.0,12830000000.0,3565000000.0,5005000000.0
2023-12-31,AMD,22680000000.0,854000000.0,67885000000.0,11993000000.0,1667000000.0,5872000000.0
2024-12-31,AMD,25785000000.0,1641000000.0,69226000000.0,11658000000.0,3041000000.0,6456000000.0
2020-12-31,INTC,,,,,,
2021-12-31,INTC,79024000000.0,19868000000.0,168406000000.0,73015000000.0,29456000000.0,15190000000.0
2022-12-31,INTC,63054000000.0,8014000000.0,182103000000.0,78817000000.0,15433000000.0,17528000000.0
2023-12-31,INTC,54228000000.0,1689000000.0,191572000000.0,81607000000.0,11471000000.0,16046000000.0
2024-12-31,INTC,53101000000.0,-18756000000.0,196485000000.0,91453000000.0,8288000000.0,16546000000.0
2020-12-31,IBM,,,,,,
2021-12-31,IBM,57351000000.0,5742000000.0,132001000000.0,113005000000.0,12796000000.0,6488000000.0
2022-12-31,IBM,60530000000.0,1640000000.0,127243000000.0,105222000000.0,10435000000.0,6567000000.0
2023-12-31,IBM,61860000000.0,7502000000.0,135241000000.0,112628000000.0,13931000000.0,6775000000.0
2024-12-31,IBM,62753000000.0,6023000000.0,137175000000.0,109782000000.0,13445000000.0,7479000000.0
2021-05-31,ORCL,,,,,,
2022-05-31,ORCL,42440000000.0,6717000000.0,109297000000.0,115065000000.0,9539000000.0,7219000000.0
2023-05-31,ORCL,49954000000.0,8503000000.0,134384000000.0,132828000000.0,17165000000.0,8623000000.0
2024-05-31,ORCL,52961000000.0,10467000000.0,140976000000.0,131737000000.0,18673000000.0,8915000000.0
2025-05-31,ORCL,57399000000.0,12443000000.0,168361000000.0,147392000000.0,20821000000.0,9860000000.0
2021-07-31,CSCO,,,,,,
2022-07-31,CSCO,51557000000.0,11812000000.0,94002000000.0,54229000000.0,13226000000.0,6774000000.0
2023-07-31,CSCO,56998000000.0,12613000000.0,101852000000.0,57499000000.0,19886000000.0,7551000000.0
2024-07-31,CSCO,53803000000.0,10320000000.0,124413000000.0,78956000000.0,10880000000.0,7983000000.0
2025-07-31,CSCO,56654000000.0,10180000000.0,122291000000.0,75448000000.0,14193000000.0,9300000000.0
2020-12-31,SAP,,,,,,
2021-12-31,SAP,26953000000.0,5256000000.0,71174000000.0,29651000000.0,6223000000.0,5270000000.0
2022-12-31,SAP,29519000000.0,2284000000.0,72159000000.0,29311000000.0,5647000000.0,6080000000.0
2023-12-31,SAP,31207000000.0,6139000000.0,68331000000.0,24925000000.0,6332000000.0,6324000000.0
2024-12-31,SAP,34176000000.0,3124000000.0,74122000000.0,28314000000.0,5220000000.0,6514000000.0
2021-11-30,ADBE,15785000000.0,4822000000.0,27241000000.0,12444000000.0,7230000000.0,2540000000.0
2022-11-30,ADBE,17606000000.0,4756000000.0,27165000000.0,13114000000.0,7838000000.0,2987000000.0
2023-11-30,ADBE,19409000000.0,5428000000.0,29779000000.0,13261000000.0,7302000000.0,3473000000.0
2024-11-30,ADBE,21505000000.0,5560000000.0,30230000000.0,16125000000.0,8056000000.0,3944000000.0
2021-01-31,CRM,,,,,,
2022-01-31,CRM,26492000000.0,1444000000.0,95209000000.0,37078000000.0,6000000000.0,4465000000.0
2023-01-31,CRM,31352000000.0,208000000.0,98849000000.0,40490000000.0,7111000000.0,5055000000.0
2024-01-31,CRM,34857000000.0,4136000000.0,99823000000.0,40177000000.0,10234000000.0,4906000000.0
2025-01-31,CRM,37895000000.0,6197000000.0,102928000000.0,41755000000.0,13092000000.0,5493000000.0
